x1,x2,x3,x4,x5,x6
0.0821,0.10525,0.00674,0.01066,0.00051,0.00114
0.02944,0.04027,0.00503,0.00831,0.00053,0.00135
0.0336,0.0487,0.00637,0.01198,0.00094,0.00244
0.04074,0.0479,0.00838,0.01425,0.0012,0.00296
0.04512,0.05199,0.01147,0.01767,0.00218,0.00376
0.04841,0.05718,0.01284,0.02146,0.00253,0.00511
0.04812,0.05672,0.01536,0.02431,0.00338,0.00702
0.05151,0.06007,0.0183,0.02776,0.00385,0.00839
0.05027,0.0579,0.02075,0.03086,0.00564,0.0099
0.05259,0.05551,0.02306,0.0338,0.00635,0.0125
0.05303,0.05152,0.02611,0.03585,0.00754,0.01438
0.04629,0.04476,0.02752,0.03803,0.00886,0.01537
0.04237,0.04185,0.02908,0.03907,0.01097,0.01821
0.04116,0.03785,0.03052,0.03951,0.01123,0.02006
0.03861,0.03486,0.03288,0.04038,0.01344,0.02168
0.03528,0.03138,0.03457,0.04136,0.01503,0.02383
0.03348,0.02722,0.03461,0.04069,0.01562,0.02569
0.02975,0.02346,0.03514,0.03971,0.01782,0.02824
0.02673,0.02083,0.03619,0.03841,0.01875,0.02978
0.02404,0.0175,0.03485,0.03758,0.02153,0.03
0.02026,0.01495,0.03519,0.03666,0.0225,0.0316
0.01782,0.01315,0.03625,0.03348,0.02252,0.03271
0.01633,0.01132,0.03359,0.03228,0.02403,0.03342
0.01438,0.00878,0.03292,0.03108,0.02556,0.03335
0.0125,0.00711,0.03249,0.02893,0.0254,0.03287
0.01029,0.00616,0.02906,0.027,0.02763,0.03126
0.00839,0.0053,0.0288,0.02437,0.02829,0.03272
0.00785,0.00432,0.02787,0.02281,0.02841,0.03257
0.00678,0.0032,0.02677,0.02081,0.02924,0.0309
0.00571,0.00257,0.02496,0.01861,0.02847,0.03097
0.00452,0.00208,0.02383,0.01626,0.02853,0.0289
0.00387,0.0015,0.02266,0.01466,0.02851,0.02783
0.00327,0.00157,0.01973,0.01327,0.0288,0.0274
0.00291,0.00115,0.0189,0.01214,0.02803,0.02534
0.00213,0.00081,0.0166,0.01022,0.02771,0.02449
0.00197,0.00075,0.01567,0.00881,0.02635,0.02362
0.00155,0.0006,0.01416,0.00857,0.02633,0.02161
0.00133,0.00035,0.01298,0.00701,0.02485,0.01957
0.00114,0.00052,0.01144,0.006,0.02415,0.01967
0.00077,0.00024,0.01026,0.00531,0.02376,0.01726
0.00064,0.00018,0.0095,0.00486,0.0227,0.0162
0.00059,0.00014,0.00776,0.00392,0.02175,0.01458
0.0005,0.00018,0.00785,0.00322,0.02008,0.0144
0.00046,8.0e-5,0.00671,0.00284,0.01923,0.01265
0.00036,5.0e-5,0.00568,0.00256,0.01839,0.01145
0.00018,7.0e-5,0.00554,0.00222,0.01657,0.01
0.00015,5.0e-5,0.00458,0.00192,0.0162,0.00964
0.00015,2.0e-5,0.00407,0.00145,0.01485,0.00868
0.00015,1.0e-5,0.00359,0.00128,0.01397,0.00747
9.0e-5,3.0e-5,0.003,0.00111,0.01284,0.00706
5.0e-5,0.0,0.00261,0.00081,0.01266,0.00655
6.0e-5,0.0,0.00223,0.00075,0.01069,0.00484
5.0e-5,2.0e-5,0.00208,0.0005,0.01047,0.00486
6.0e-5,1.0e-5,0.00173,0.0004,0.00907,0.00408
1.0e-5,0.0,0.00145,0.00038,0.0083,0.00353
1.0e-5,1.0e-5,0.00114,0.00028,0.00747,0.0036
2.0e-5,0.0,0.00118,0.00025,0.00734,0.00257
1.0e-5,0.0,0.00087,0.00022,0.00657,0.00268
2.0e-5,0.0,0.00084,0.00013,0.00618,0.00219
1.0e-5,0.0,0.00066,0.00015,0.00533,0.002
0.0,0.0,0.00053,0.0002,0.00456,0.00168
1.0e-5,0.0,0.0004,0.00013,0.00431,0.00144
0.0,0.0,0.00037,9.0e-5,0.00409,0.00124
0.0,0.0,0.0003,3.0e-5,0.00352,0.00078
1.0e-5,0.0,0.00017,5.0e-5,0.00354,0.00092
0.0,0.0,0.00021,8.0e-5,0.00264,0.00083
0.0,0.0,0.00021,5.0e-5,0.00232,0.00061
0.0,0.0,0.00016,6.0e-5,0.00217,0.00052
0.0,0.0,0.00013,3.0e-5,0.00198,0.00042
0.0,0.0,0.00012,3.0e-5,0.0018,0.00045
0.0,0.0,6.0e-5,1.0e-5,0.00155,0.00043
0.0,0.0,6.0e-5,2.0e-5,0.00135,0.0002
0.0,0.0,7.0e-5,2.0e-5,0.00134,0.00024
0.0,0.0,3.0e-5,0.0,0.00111,0.00029
0.0,0.0,6.0e-5,0.0,0.00077,0.00018
0.0,0.0,4.0e-5,1.0e-5,0.00075,0.00014
0.0,0.0,4.0e-5,0.0,0.00067,0.0001
0.0,0.0,0.0,1.0e-5,0.00046,9.0e-5
0.0,0.0,1.0e-5,0.0,0.00051,0.0001
0.0,0.0,0.0,0.0,0.00043,8.0e-5
0.0,0.0,2.0e-5,0.0,0.00031,5.0e-5
0.0,0.0,1.0e-5,0.0,0.00029,5.0e-5
0.0,0.0,1.0e-5,0.0,0.00032,6.0e-5
0.0,0.0,0.0,0.0,0.00022,1.0e-5
0.0,0.0,0.0,0.0,0.00016,4.0e-5
0.0,0.0,1.0e-5,0.0,0.00022,5.0e-5
0.0,0.0,0.0,0.0,0.00017,2.0e-5
0.0,0.0,0.0,0.0,9.0e-5,1.0e-5
0.0,0.0,0.0,0.0,0.00012,2.0e-5
0.0,0.0,0.0,0.0,0.0001,0.0
0.0,0.0,0.0,0.0,3.0e-5,1.0e-5
0.0,0.0,1.0e-5,0.0,9.0e-5,0.0
0.0,0.0,0.0,0.0,7.0e-5,0.0
0.0,0.0,0.0,0.0,5.0e-5,0.0
0.0,0.0,0.0,0.0,5.0e-5,0.0
0.0,0.0,0.0,0.0,4.0e-5,0.0
0.0,0.0,0.0,0.0,1.0e-5,1.0e-5
0.0,0.0,0.0,0.0,3.0e-5,0.0
0.0,0.0,0.0,0.0,4.0e-5,1.0e-5
0.0,0.0,0.0,0.0,1.0e-5,0.0
