x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30
0.0,0.0,0.0,0.0953,0.3022,0.0,0.0,8.0e-5,0.0929,0.2977,0.0,0.0,0.00014,0.09658,0.30554,0.0,0.0002,0.00074,0.1026,0.30718,0.0,0.0013,0.00408,0.1067,0.30762,4.0e-5,0.00204,0.00966,0.11732,0.3116
0.0,0.0,0.00042,0.22368,0.3652,0.0,0.0,0.00042,0.22548,0.36808,0.0,8.0e-5,0.0015,0.22898,0.36092,0.00048,0.00338,0.01144,0.24332,0.36216,0.00388,0.0217,0.0401,0.2636,0.36896,0.00786,0.0453,0.08682,0.2841,0.37064
0.0,2.0e-5,0.00164,0.26432,0.2169,0.0,2.0e-5,0.00314,0.26592,0.21744,2.0e-5,0.00074,0.0097,0.27156,0.21756,0.01342,0.03458,0.0589,0.28514,0.21754,0.11098,0.17066,0.19946,0.3108,0.22086,0.27472,0.35438,0.35776,0.34202,0.22532
0.0,2.0e-5,0.00604,0.20626,0.08398,0.0,0.00016,0.00962,0.20896,0.0852,0.00016,0.0038,0.03064,0.20768,0.08462,0.1004,0.13354,0.17092,0.2121,0.08498,0.42178,0.41124,0.37422,0.21534,0.08062,0.5588,0.47898,0.41992,0.20532,0.07816
0.0,6.0e-5,0.01558,0.1214,0.0248,0.0,0.0006,0.02572,0.12076,0.02418,0.0013,0.0162,0.07178,0.11604,0.0243,0.25402,0.26102,0.27192,0.10638,0.02266,0.35252,0.29934,0.28012,0.08336,0.01892,0.1486,0.11228,0.11582,0.04736,0.0133
0.0,0.00028,0.03234,0.05608,0.0058,0.0,0.00182,0.04996,0.05492,0.00592,0.00602,0.04096,0.12482,0.05274,0.00582,0.3085,0.2838,0.25736,0.03722,0.00472,0.09898,0.08482,0.0872,0.01754,0.00274,0.00988,0.00678,0.00974,0.0038,0.00092
0.0,0.00082,0.05726,0.0228,0.00096,0.0,0.00614,0.08238,0.02176,0.00118,0.01982,0.0837,0.16278,0.01906,0.00106,0.2082,0.18158,0.1524,0.01066,0.00068,0.01122,0.0102,0.01386,0.00256,0.00026,0.0001,0.00024,0.00028,8.0e-5,6.0e-5
0.0,0.00238,0.08488,0.00718,0.00014,2.0e-5,0.01332,0.11168,0.00692,0.00028,0.04938,0.12874,0.17678,0.0058,0.00014,0.08664,0.0768,0.05838,0.00226,8.0e-5,0.00062,0.0007,0.00094,0.0001,2.0e-5,0.0,0.0,0.0,0.0,0.0
0.0,0.0059,0.1096,0.0021,2.0e-5,4.0e-5,0.0257,0.13258,0.0017,2.0e-5,0.09264,0.16384,0.15776,0.0012,4.0e-5,0.0231,0.02066,0.01472,0.00032,0.0,2.0e-5,4.0e-5,2.0e-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0123,0.12576,0.00072,0.0,0.00026,0.04406,0.14404,0.00054,0.0,0.13584,0.16762,0.11704,0.00024,0.0,0.00456,0.0035,0.00288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.02016,0.1267,0.00014,0.0,0.00092,0.06598,0.12448,0.0001,0.0,0.16412,0.15008,0.07422,0.00012,0.0,0.00064,0.00088,0.0003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.03144,0.11508,2.0e-5,0.0,0.00178,0.09068,0.10848,2.0e-5,0.0,0.16636,0.1074,0.03914,0.0,0.0,4.0e-5,6.0e-5,4.0e-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.04956,0.09896,0.0,0.0,0.00382,0.10588,0.07982,2.0e-5,0.0,0.1408,0.06872,0.02074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.06288,0.07708,0.0,0.0,0.00792,0.11798,0.05354,0.0,0.0,0.09962,0.03806,0.00838,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.08138,0.05732,0.0,0.0,0.01548,0.11964,0.03392,0.0,0.0,0.0625,0.01738,0.00304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0e-5,0.09172,0.0389,0.0,0.0,0.02456,0.10722,0.01992,0.0,0.0,0.03374,0.00792,0.00092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.0e-5,0.09852,0.02284,0.0,0.0,0.03718,0.08922,0.01038,0.0,0.0,0.0165,0.00374,0.0005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.0e-5,0.09906,0.01424,0.0,0.0,0.05176,0.07148,0.00528,0.0,0.0,0.007,0.00074,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0002,0.0955,0.00792,0.0,0.0,0.07174,0.05202,0.00276,0.0,0.0,0.0027,0.00022,2.0e-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.00058,0.08184,0.00422,0.0,0.0,0.086,0.03542,0.00108,0.0,0.0,0.00092,6.0e-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0008,0.07274,0.00176,0.0,0.0,0.09798,0.02242,0.0004,0.0,0.0,0.0004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0016,0.05818,0.00072,0.0,0.0,0.10258,0.01338,0.00024,0.0,0.0,0.00016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
