x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49,x50,x51,x52,x53,x54,x55,x56,x57,x58,x59,x60,x61,x62,x63,x64,x65,x66,x67,x68,x69,x70,x71,x72,x73,x74,x75,x76,x77,x78,x79,x80,x81,x82,x83,x84,x85,x86,x87,x88,x89,x90,x91,x92,x93,x94,x95,x96,x97,x98,x99,x100,x101
1.0,2.061153622438558e-9,4.248354255291589e-18,8.75651076269652e-27,1.8048513878454153e-35,3.720075976020836e-44,7.667648073722e-53,1.580420060273613e-61,3.257488532207521e-70,6.714184288211594e-79,1.3838965267367376e-87,1.3838965267367376e-87,1.3838965267367376e-87,1.3838965267367376e-87,1.3838965267367376e-87,1.3838965267367376e-87,1.3838965267367376e-87,1.3838965267367376e-87,1.3838965267367376e-87,1.3838965267367376e-87,1.3838965267367376e-87,1.3838965267367376e-87,1.3838965267367376e-87,1.3838965267367376e-87,1.3838965267367376e-87,1.3838965267367376e-87,1.3838965267367376e-87,1.3838965267367376e-87,1.3838965267367376e-87,1.3838965267367376e-87,1.3838965267367376e-87,1.3838965267367376e-87,1.3838965267367376e-87,1.3838965267367376e-87,1.3838965267367376e-87,1.3838965267367376e-87,1.3838965267367376e-87,1.3838965267367376e-87,1.3838965267367376e-87,1.3838965267367376e-87,1.3838965267367376e-87,1.3838965267367376e-87,1.3838965267367376e-87,1.3838965267367376e-87,1.3838965267367376e-87,1.3838965267367376e-87,1.3838965267367376e-87,1.3838965267367376e-87,1.3838965267367376e-87,1.3838965267367376e-87,1.3838965267367376e-87,1.3838965267367376e-87,1.3838965267367376e-87,1.3838965267367376e-87,1.3838965267367376e-87,1.3838965267367376e-87,1.3838965267367376e-87,1.3838965267367376e-87,1.3838965267367376e-87,1.3838965267367376e-87,1.3838965267367376e-87,1.3838965267367376e-87,1.3838965267367376e-87,1.3838965267367376e-87,1.3838965267367376e-87,1.3838965267367376e-87,1.3838965267367376e-87,1.3838965267367376e-87,1.3838965267367376e-87,1.3838965267367376e-87,1.3838965267367376e-87,1.3838965267367376e-87,1.3838965267367376e-87,1.3838965267367376e-87,1.3838965267367376e-87,1.3838965267367376e-87,1.3838965267367376e-87,1.3838965267367376e-87,1.3838965267367376e-87,1.3838965267367376e-87,1.3838965267367376e-87,1.3838965267367376e-87,1.3838965267367376e-87,1.3838965267367376e-87,1.3838965267367376e-87,1.3838965267367376e-87,1.3838965267367376e-87,1.3838965267367376e-87,1.3838965267367376e-87,1.3838965267367376e-87,1.3838965267367376e-87,1.3838965267367376e-87,1.3838965267367376e-87,1.3838965267367376e-87,1.3838965267367376e-87,1.3838965267367376e-87,1.3838965267367376e-87,1.3838965267367376e-87,1.3838965267367376e-87,1.3838965267367376e-87,1.3838965267367376e-87
0.0,4.122307244877113e-8,1.6993417021166378e-16,5.253906457617897e-25,1.4438811102763264e-33,3.720075976020818e-42,9.201177688466455e-51,2.212588084383061e-59,5.211981651532023e-68,1.2085531718780717e-76,2.767793053473506e-85,2.767793053473506e-85,2.767793053473506e-85,2.767793053473506e-85,2.767793053473506e-85,2.767793053473506e-85,2.767793053473506e-85,2.767793053473506e-85,2.767793053473506e-85,2.767793053473506e-85,2.767793053473506e-85,2.767793053473506e-85,2.767793053473506e-85,2.767793053473506e-85,2.767793053473506e-85,2.767793053473506e-85,2.767793053473506e-85,2.767793053473506e-85,2.767793053473506e-85,2.767793053473506e-85,2.767793053473506e-85,2.767793053473506e-85,2.767793053473506e-85,2.767793053473506e-85,2.767793053473506e-85,2.767793053473506e-85,2.767793053473506e-85,2.767793053473506e-85,2.767793053473506e-85,2.767793053473506e-85,2.767793053473506e-85,2.767793053473506e-85,2.767793053473506e-85,2.767793053473506e-85,2.767793053473506e-85,2.767793053473506e-85,2.767793053473506e-85,2.767793053473506e-85,2.767793053473506e-85,2.767793053473506e-85,2.767793053473506e-85,2.767793053473506e-85,2.767793053473506e-85,2.767793053473506e-85,2.767793053473506e-85,2.767793053473506e-85,2.767793053473506e-85,2.767793053473506e-85,2.767793053473506e-85,2.767793053473506e-85,2.767793053473506e-85,2.767793053473506e-85,2.767793053473506e-85,2.767793053473506e-85,2.767793053473506e-85,2.767793053473506e-85,2.767793053473506e-85,2.767793053473506e-85,2.767793053473506e-85,2.767793053473506e-85,2.767793053473506e-85,2.767793053473506e-85,2.767793053473506e-85,2.767793053473506e-85,2.767793053473506e-85,2.767793053473506e-85,2.767793053473506e-85,2.767793053473506e-85,2.767793053473506e-85,2.767793053473506e-85,2.767793053473506e-85,2.767793053473506e-85,2.767793053473506e-85,2.767793053473506e-85,2.767793053473506e-85,2.767793053473506e-85,2.767793053473506e-85,2.767793053473506e-85,2.767793053473506e-85,2.767793053473506e-85,2.767793053473506e-85,2.767793053473506e-85,2.767793053473506e-85,2.767793053473506e-85,2.767793053473506e-85,2.767793053473506e-85,2.767793053473506e-85,2.767793053473506e-85,2.767793053473506e-85,2.767793053473506e-85,2.767793053473506e-85
0.0,4.1223072448771105e-7,3.3986834042332734e-15,1.5761719372853727e-23,5.775524441105272e-32,1.8600379880104227e-40,5.5207066130798176e-49,1.548811659068142e-57,4.169585321225602e-66,1.08769785469028e-74,2.767793053473453e-83,2.767793053473453e-83,2.767793053473453e-83,2.767793053473453e-83,2.767793053473453e-83,2.767793053473453e-83,2.767793053473453e-83,2.767793053473453e-83,2.767793053473453e-83,2.767793053473453e-83,2.767793053473453e-83,2.767793053473453e-83,2.767793053473453e-83,2.767793053473453e-83,2.767793053473453e-83,2.767793053473453e-83,2.767793053473453e-83,2.767793053473453e-83,2.767793053473453e-83,2.767793053473453e-83,2.767793053473453e-83,2.767793053473453e-83,2.767793053473453e-83,2.767793053473453e-83,2.767793053473453e-83,2.767793053473453e-83,2.767793053473453e-83,2.767793053473453e-83,2.767793053473453e-83,2.767793053473453e-83,2.767793053473453e-83,2.767793053473453e-83,2.767793053473453e-83,2.767793053473453e-83,2.767793053473453e-83,2.767793053473453e-83,2.767793053473453e-83,2.767793053473453e-83,2.767793053473453e-83,2.767793053473453e-83,2.767793053473453e-83,2.767793053473453e-83,2.767793053473453e-83,2.767793053473453e-83,2.767793053473453e-83,2.767793053473453e-83,2.767793053473453e-83,2.767793053473453e-83,2.767793053473453e-83,2.767793053473453e-83,2.767793053473453e-83,2.767793053473453e-83,2.767793053473453e-83,2.767793053473453e-83,2.767793053473453e-83,2.767793053473453e-83,2.767793053473453e-83,2.767793053473453e-83,2.767793053473453e-83,2.767793053473453e-83,2.767793053473453e-83,2.767793053473453e-83,2.767793053473453e-83,2.767793053473453e-83,2.767793053473453e-83,2.767793053473453e-83,2.767793053473453e-83,2.767793053473453e-83,2.767793053473453e-83,2.767793053473453e-83,2.767793053473453e-83,2.767793053473453e-83,2.767793053473453e-83,2.767793053473453e-83,2.767793053473453e-83,2.767793053473453e-83,2.767793053473453e-83,2.767793053473453e-83,2.767793053473453e-83,2.767793053473453e-83,2.767793053473453e-83,2.767793053473453e-83,2.767793053473453e-83,2.767793053473453e-83,2.767793053473453e-83,2.767793053473453e-83,2.767793053473453e-83,2.767793053473453e-83,2.767793053473453e-83,2.767793053473453e-83,2.767793053473453e-83
0.0,2.7482048299180785e-6,4.531577872311032e-14,3.1523438745707435e-22,1.5401398509614253e-30,6.200126626701393e-39,2.2082826452319455e-47,7.227787742318023e-56,2.2237788379869882e-64,6.526187128141615e-73,1.8451953689823272e-81,1.8451953689823272e-81,1.8451953689823272e-81,1.8451953689823272e-81,1.8451953689823272e-81,1.8451953689823272e-81,1.8451953689823272e-81,1.8451953689823272e-81,1.8451953689823272e-81,1.8451953689823272e-81,1.8451953689823272e-81,1.8451953689823272e-81,1.8451953689823272e-81,1.8451953689823272e-81,1.8451953689823272e-81,1.8451953689823272e-81,1.8451953689823272e-81,1.8451953689823272e-81,1.8451953689823272e-81,1.8451953689823272e-81,1.8451953689823272e-81,1.8451953689823272e-81,1.8451953689823272e-81,1.8451953689823272e-81,1.8451953689823272e-81,1.8451953689823272e-81,1.8451953689823272e-81,1.8451953689823272e-81,1.8451953689823272e-81,1.8451953689823272e-81,1.8451953689823272e-81,1.8451953689823272e-81,1.8451953689823272e-81,1.8451953689823272e-81,1.8451953689823272e-81,1.8451953689823272e-81,1.8451953689823272e-81,1.8451953689823272e-81,1.8451953689823272e-81,1.8451953689823272e-81,1.8451953689823272e-81,1.8451953689823272e-81,1.8451953689823272e-81,1.8451953689823272e-81,1.8451953689823272e-81,1.8451953689823272e-81,1.8451953689823272e-81,1.8451953689823272e-81,1.8451953689823272e-81,1.8451953689823272e-81,1.8451953689823272e-81,1.8451953689823272e-81,1.8451953689823272e-81,1.8451953689823272e-81,1.8451953689823272e-81,1.8451953689823272e-81,1.8451953689823272e-81,1.8451953689823272e-81,1.8451953689823272e-81,1.8451953689823272e-81,1.8451953689823272e-81,1.8451953689823272e-81,1.8451953689823272e-81,1.8451953689823272e-81,1.8451953689823272e-81,1.8451953689823272e-81,1.8451953689823272e-81,1.8451953689823272e-81,1.8451953689823272e-81,1.8451953689823272e-81,1.8451953689823272e-81,1.8451953689823272e-81,1.8451953689823272e-81,1.8451953689823272e-81,1.8451953689823272e-81,1.8451953689823272e-81,1.8451953689823272e-81,1.8451953689823272e-81,1.8451953689823272e-81,1.8451953689823272e-81,1.8451953689823272e-81,1.8451953689823272e-81,1.8451953689823272e-81,1.8451953689823272e-81,1.8451953689823272e-81,1.8451953689823272e-81,1.8451953689823272e-81,1.8451953689823272e-81,1.8451953689823272e-81,1.8451953689823272e-81,1.8451953689823272e-81
0.0,1.3741024149590382e-5,4.531577872311021e-13,4.728515811856117e-21,3.080279701922827e-29,1.550031656675357e-37,6.624847935695758e-46,2.5297257098113018e-54,8.895115351947901e-63,2.9367842076637627e-71,9.225976844911442e-80,9.225976844911442e-80,9.225976844911442e-80,9.225976844911442e-80,9.225976844911442e-80,9.225976844911442e-80,9.225976844911442e-80,9.225976844911442e-80,9.225976844911442e-80,9.225976844911442e-80,9.225976844911442e-80,9.225976844911442e-80,9.225976844911442e-80,9.225976844911442e-80,9.225976844911442e-80,9.225976844911442e-80,9.225976844911442e-80,9.225976844911442e-80,9.225976844911442e-80,9.225976844911442e-80,9.225976844911442e-80,9.225976844911442e-80,9.225976844911442e-80,9.225976844911442e-80,9.225976844911442e-80,9.225976844911442e-80,9.225976844911442e-80,9.225976844911442e-80,9.225976844911442e-80,9.225976844911442e-80,9.225976844911442e-80,9.225976844911442e-80,9.225976844911442e-80,9.225976844911442e-80,9.225976844911442e-80,9.225976844911442e-80,9.225976844911442e-80,9.225976844911442e-80,9.225976844911442e-80,9.225976844911442e-80,9.225976844911442e-80,9.225976844911442e-80,9.225976844911442e-80,9.225976844911442e-80,9.225976844911442e-80,9.225976844911442e-80,9.225976844911442e-80,9.225976844911442e-80,9.225976844911442e-80,9.225976844911442e-80,9.225976844911442e-80,9.225976844911442e-80,9.225976844911442e-80,9.225976844911442e-80,9.225976844911442e-80,9.225976844911442e-80,9.225976844911442e-80,9.225976844911442e-80,9.225976844911442e-80,9.225976844911442e-80,9.225976844911442e-80,9.225976844911442e-80,9.225976844911442e-80,9.225976844911442e-80,9.225976844911442e-80,9.225976844911442e-80,9.225976844911442e-80,9.225976844911442e-80,9.225976844911442e-80,9.225976844911442e-80,9.225976844911442e-80,9.225976844911442e-80,9.225976844911442e-80,9.225976844911442e-80,9.225976844911442e-80,9.225976844911442e-80,9.225976844911442e-80,9.225976844911442e-80,9.225976844911442e-80,9.225976844911442e-80,9.225976844911442e-80,9.225976844911442e-80,9.225976844911442e-80,9.225976844911442e-80,9.225976844911442e-80,9.225976844911442e-80,9.225976844911442e-80,9.225976844911442e-80,9.225976844911442e-80,9.225976844911442e-80,9.225976844911442e-80
0.0,5.496409659836144e-5,3.625262297848824e-12,5.674218974227349e-20,4.928447523076525e-28,3.1000633133506905e-36,1.589963504566987e-44,7.083231987471635e-53,2.846436912623355e-61,1.0572423147589535e-69,3.69039073796466e-78,3.69039073796466e-78,3.69039073796466e-78,3.69039073796466e-78,3.69039073796466e-78,3.69039073796466e-78,3.69039073796466e-78,3.69039073796466e-78,3.69039073796466e-78,3.69039073796466e-78,3.69039073796466e-78,3.69039073796466e-78,3.69039073796466e-78,3.69039073796466e-78,3.69039073796466e-78,3.69039073796466e-78,3.69039073796466e-78,3.69039073796466e-78,3.69039073796466e-78,3.69039073796466e-78,3.69039073796466e-78,3.69039073796466e-78,3.69039073796466e-78,3.69039073796466e-78,3.69039073796466e-78,3.69039073796466e-78,3.69039073796466e-78,3.69039073796466e-78,3.69039073796466e-78,3.69039073796466e-78,3.69039073796466e-78,3.69039073796466e-78,3.69039073796466e-78,3.69039073796466e-78,3.69039073796466e-78,3.69039073796466e-78,3.69039073796466e-78,3.69039073796466e-78,3.69039073796466e-78,3.69039073796466e-78,3.69039073796466e-78,3.69039073796466e-78,3.69039073796466e-78,3.69039073796466e-78,3.69039073796466e-78,3.69039073796466e-78,3.69039073796466e-78,3.69039073796466e-78,3.69039073796466e-78,3.69039073796466e-78,3.69039073796466e-78,3.69039073796466e-78,3.69039073796466e-78,3.69039073796466e-78,3.69039073796466e-78,3.69039073796466e-78,3.69039073796466e-78,3.69039073796466e-78,3.69039073796466e-78,3.69039073796466e-78,3.69039073796466e-78,3.69039073796466e-78,3.69039073796466e-78,3.69039073796466e-78,3.69039073796466e-78,3.69039073796466e-78,3.69039073796466e-78,3.69039073796466e-78,3.69039073796466e-78,3.69039073796466e-78,3.69039073796466e-78,3.69039073796466e-78,3.69039073796466e-78,3.69039073796466e-78,3.69039073796466e-78,3.69039073796466e-78,3.69039073796466e-78,3.69039073796466e-78,3.69039073796466e-78,3.69039073796466e-78,3.69039073796466e-78,3.69039073796466e-78,3.69039073796466e-78,3.69039073796466e-78,3.69039073796466e-78,3.69039073796466e-78,3.69039073796466e-78,3.69039073796466e-78,3.69039073796466e-78,3.69039073796466e-78,3.69039073796466e-78
0.0,0.00018321365532787177,2.41684153189922e-11,5.674218974227334e-19,6.571263364102057e-27,5.166772188917794e-35,3.1799270091339946e-43,1.6527541304100277e-51,7.590498433662268e-60,3.171726944276913e-68,1.2301302459882344e-76,1.2301302459882344e-76,1.2301302459882344e-76,1.2301302459882344e-76,1.2301302459882344e-76,1.2301302459882344e-76,1.2301302459882344e-76,1.2301302459882344e-76,1.2301302459882344e-76,1.2301302459882344e-76,1.2301302459882344e-76,1.2301302459882344e-76,1.2301302459882344e-76,1.2301302459882344e-76,1.2301302459882344e-76,1.2301302459882344e-76,1.2301302459882344e-76,1.2301302459882344e-76,1.2301302459882344e-76,1.2301302459882344e-76,1.2301302459882344e-76,1.2301302459882344e-76,1.2301302459882344e-76,1.2301302459882344e-76,1.2301302459882344e-76,1.2301302459882344e-76,1.2301302459882344e-76,1.2301302459882344e-76,1.2301302459882344e-76,1.2301302459882344e-76,1.2301302459882344e-76,1.2301302459882344e-76,1.2301302459882344e-76,1.2301302459882344e-76,1.2301302459882344e-76,1.2301302459882344e-76,1.2301302459882344e-76,1.2301302459882344e-76,1.2301302459882344e-76,1.2301302459882344e-76,1.2301302459882344e-76,1.2301302459882344e-76,1.2301302459882344e-76,1.2301302459882344e-76,1.2301302459882344e-76,1.2301302459882344e-76,1.2301302459882344e-76,1.2301302459882344e-76,1.2301302459882344e-76,1.2301302459882344e-76,1.2301302459882344e-76,1.2301302459882344e-76,1.2301302459882344e-76,1.2301302459882344e-76,1.2301302459882344e-76,1.2301302459882344e-76,1.2301302459882344e-76,1.2301302459882344e-76,1.2301302459882344e-76,1.2301302459882344e-76,1.2301302459882344e-76,1.2301302459882344e-76,1.2301302459882344e-76,1.2301302459882344e-76,1.2301302459882344e-76,1.2301302459882344e-76,1.2301302459882344e-76,1.2301302459882344e-76,1.2301302459882344e-76,1.2301302459882344e-76,1.2301302459882344e-76,1.2301302459882344e-76,1.2301302459882344e-76,1.2301302459882344e-76,1.2301302459882344e-76,1.2301302459882344e-76,1.2301302459882344e-76,1.2301302459882344e-76,1.2301302459882344e-76,1.2301302459882344e-76,1.2301302459882344e-76,1.2301302459882344e-76,1.2301302459882344e-76,1.2301302459882344e-76,1.2301302459882344e-76,1.2301302459882344e-76,1.2301302459882344e-76,1.2301302459882344e-76,1.2301302459882344e-76,1.2301302459882344e-76,1.2301302459882344e-76
0.0,0.0005234675866510628,1.3810523039424108e-10,4.863616263623441e-18,7.510015273259503e-26,7.381103127025527e-34,5.451303444229689e-42,3.305508260820077e-50,1.7349710705514055e-58,8.155869285283315e-67,3.514657845680577e-75,3.514657845680577e-75,3.514657845680577e-75,3.514657845680577e-75,3.514657845680577e-75,3.514657845680577e-75,3.514657845680577e-75,3.514657845680577e-75,3.514657845680577e-75,3.514657845680577e-75,3.514657845680577e-75,3.514657845680577e-75,3.514657845680577e-75,3.514657845680577e-75,3.514657845680577e-75,3.514657845680577e-75,3.514657845680577e-75,3.514657845680577e-75,3.514657845680577e-75,3.514657845680577e-75,3.514657845680577e-75,3.514657845680577e-75,3.514657845680577e-75,3.514657845680577e-75,3.514657845680577e-75,3.514657845680577e-75,3.514657845680577e-75,3.514657845680577e-75,3.514657845680577e-75,3.514657845680577e-75,3.514657845680577e-75,3.514657845680577e-75,3.514657845680577e-75,3.514657845680577e-75,3.514657845680577e-75,3.514657845680577e-75,3.514657845680577e-75,3.514657845680577e-75,3.514657845680577e-75,3.514657845680577e-75,3.514657845680577e-75,3.514657845680577e-75,3.514657845680577e-75,3.514657845680577e-75,3.514657845680577e-75,3.514657845680577e-75,3.514657845680577e-75,3.514657845680577e-75,3.514657845680577e-75,3.514657845680577e-75,3.514657845680577e-75,3.514657845680577e-75,3.514657845680577e-75,3.514657845680577e-75,3.514657845680577e-75,3.514657845680577e-75,3.514657845680577e-75,3.514657845680577e-75,3.514657845680577e-75,3.514657845680577e-75,3.514657845680577e-75,3.514657845680577e-75,3.514657845680577e-75,3.514657845680577e-75,3.514657845680577e-75,3.514657845680577e-75,3.514657845680577e-75,3.514657845680577e-75,3.514657845680577e-75,3.514657845680577e-75,3.514657845680577e-75,3.514657845680577e-75,3.514657845680577e-75,3.514657845680577e-75,3.514657845680577e-75,3.514657845680577e-75,3.514657845680577e-75,3.514657845680577e-75,3.514657845680577e-75,3.514657845680577e-75,3.514657845680577e-75,3.514657845680577e-75,3.514657845680577e-75,3.514657845680577e-75,3.514657845680577e-75,3.514657845680577e-75,3.514657845680577e-75,3.514657845680577e-75,3.514657845680577e-75,3.514657845680577e-75,3.514657845680577e-75
0.0,0.0013086689666276512,6.905261519712023e-10,3.647712197717575e-17,7.510015273259431e-25,9.226378908781812e-33,8.176955166344421e-41,5.78463945643511e-49,3.4699421411027844e-57,1.8350705891887653e-65,8.786644614201492e-74,8.786644614201492e-74,8.786644614201492e-74,8.786644614201492e-74,8.786644614201492e-74,8.786644614201492e-74,8.786644614201492e-74,8.786644614201492e-74,8.786644614201492e-74,8.786644614201492e-74,8.786644614201492e-74,8.786644614201492e-74,8.786644614201492e-74,8.786644614201492e-74,8.786644614201492e-74,8.786644614201492e-74,8.786644614201492e-74,8.786644614201492e-74,8.786644614201492e-74,8.786644614201492e-74,8.786644614201492e-74,8.786644614201492e-74,8.786644614201492e-74,8.786644614201492e-74,8.786644614201492e-74,8.786644614201492e-74,8.786644614201492e-74,8.786644614201492e-74,8.786644614201492e-74,8.786644614201492e-74,8.786644614201492e-74,8.786644614201492e-74,8.786644614201492e-74,8.786644614201492e-74,8.786644614201492e-74,8.786644614201492e-74,8.786644614201492e-74,8.786644614201492e-74,8.786644614201492e-74,8.786644614201492e-74,8.786644614201492e-74,8.786644614201492e-74,8.786644614201492e-74,8.786644614201492e-74,8.786644614201492e-74,8.786644614201492e-74,8.786644614201492e-74,8.786644614201492e-74,8.786644614201492e-74,8.786644614201492e-74,8.786644614201492e-74,8.786644614201492e-74,8.786644614201492e-74,8.786644614201492e-74,8.786644614201492e-74,8.786644614201492e-74,8.786644614201492e-74,8.786644614201492e-74,8.786644614201492e-74,8.786644614201492e-74,8.786644614201492e-74,8.786644614201492e-74,8.786644614201492e-74,8.786644614201492e-74,8.786644614201492e-74,8.786644614201492e-74,8.786644614201492e-74,8.786644614201492e-74,8.786644614201492e-74,8.786644614201492e-74,8.786644614201492e-74,8.786644614201492e-74,8.786644614201492e-74,8.786644614201492e-74,8.786644614201492e-74,8.786644614201492e-74,8.786644614201492e-74,8.786644614201492e-74,8.786644614201492e-74,8.786644614201492e-74,8.786644614201492e-74,8.786644614201492e-74,8.786644614201492e-74,8.786644614201492e-74,8.786644614201492e-74,8.786644614201492e-74,8.786644614201492e-74,8.786644614201492e-74,8.786644614201492e-74,8.786644614201492e-74,8.786644614201492e-74
0.0,0.00290815325917256,3.069005119872007e-9,2.431808131811704e-16,6.675569131786165e-24,1.0251532120868678e-31,1.0902606888459345e-39,8.99832804334356e-48,6.168786028627101e-56,3.670141178377502e-64,1.9525876920447517e-72,1.9525876920447517e-72,1.9525876920447517e-72,1.9525876920447517e-72,1.9525876920447517e-72,1.9525876920447517e-72,1.9525876920447517e-72,1.9525876920447517e-72,1.9525876920447517e-72,1.9525876920447517e-72,1.9525876920447517e-72,1.9525876920447517e-72,1.9525876920447517e-72,1.9525876920447517e-72,1.9525876920447517e-72,1.9525876920447517e-72,1.9525876920447517e-72,1.9525876920447517e-72,1.9525876920447517e-72,1.9525876920447517e-72,1.9525876920447517e-72,1.9525876920447517e-72,1.9525876920447517e-72,1.9525876920447517e-72,1.9525876920447517e-72,1.9525876920447517e-72,1.9525876920447517e-72,1.9525876920447517e-72,1.9525876920447517e-72,1.9525876920447517e-72,1.9525876920447517e-72,1.9525876920447517e-72,1.9525876920447517e-72,1.9525876920447517e-72,1.9525876920447517e-72,1.9525876920447517e-72,1.9525876920447517e-72,1.9525876920447517e-72,1.9525876920447517e-72,1.9525876920447517e-72,1.9525876920447517e-72,1.9525876920447517e-72,1.9525876920447517e-72,1.9525876920447517e-72,1.9525876920447517e-72,1.9525876920447517e-72,1.9525876920447517e-72,1.9525876920447517e-72,1.9525876920447517e-72,1.9525876920447517e-72,1.9525876920447517e-72,1.9525876920447517e-72,1.9525876920447517e-72,1.9525876920447517e-72,1.9525876920447517e-72,1.9525876920447517e-72,1.9525876920447517e-72,1.9525876920447517e-72,1.9525876920447517e-72,1.9525876920447517e-72,1.9525876920447517e-72,1.9525876920447517e-72,1.9525876920447517e-72,1.9525876920447517e-72,1.9525876920447517e-72,1.9525876920447517e-72,1.9525876920447517e-72,1.9525876920447517e-72,1.9525876920447517e-72,1.9525876920447517e-72,1.9525876920447517e-72,1.9525876920447517e-72,1.9525876920447517e-72,1.9525876920447517e-72,1.9525876920447517e-72,1.9525876920447517e-72,1.9525876920447517e-72,1.9525876920447517e-72,1.9525876920447517e-72,1.9525876920447517e-72,1.9525876920447517e-72,1.9525876920447517e-72,1.9525876920447517e-72,1.9525876920447517e-72,1.9525876920447517e-72,1.9525876920447517e-72,1.9525876920447517e-72,1.9525876920447517e-72,1.9525876920447517e-72,1.9525876920447517e-72,1.9525876920447517e-72
