x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,0-240,30-210,60-180,90-150,120-120
0.06017,0.0642,0.06793,0.07087,0.07287,0.541,0.54555,0.55283,0.55568,0.55945,0.45559,0.45911,0.46331,0.46458,0.46538
0.02762,0.03272,0.03723,0.04067,0.04286,0.1251,0.12914,0.13159,0.13371,0.13155,0.0715,0.07672,0.07923,0.07981,0.07912
0.03142,0.03575,0.04066,0.04317,0.04634,0.09229,0.09367,0.09372,0.093,0.09447,0.06359,0.06477,0.06731,0.06906,0.0694
0.034,0.03739,0.04226,0.04647,0.04796,0.06754,0.06766,0.06541,0.06765,0.06526,0.05619,0.05772,0.0575,0.05951,0.05971
0.03476,0.04098,0.04428,0.0483,0.04848,0.04964,0.04844,0.04834,0.04583,0.04602,0.04853,0.04972,0.04962,0.0503,0.05159
0.0357,0.03947,0.0442,0.04842,0.04888,0.0364,0.03432,0.03313,0.03325,0.03268,0.04199,0.04347,0.04339,0.04301,0.04246
0.03615,0.0404,0.04511,0.04636,0.04926,0.02568,0.02506,0.02327,0.02169,0.02216,0.03762,0.03631,0.03622,0.03605,0.03733
0.0367,0.04079,0.04243,0.04681,0.04779,0.01836,0.01732,0.01579,0.01565,0.01554,0.03196,0.03059,0.03188,0.03128,0.03085
0.03678,0.04009,0.04337,0.04512,0.04609,0.01319,0.01246,0.01142,0.01048,0.01099,0.02709,0.02649,0.02708,0.02613,0.0265
0.03697,0.03935,0.04121,0.04285,0.04419,0.00942,0.00792,0.00793,0.00778,0.00718,0.02435,0.02305,0.02278,0.02213,0.02244
0.03604,0.03853,0.04013,0.04279,0.04207,0.00654,0.00591,0.00532,0.00495,0.00462,0.01975,0.01974,0.01921,0.01909,0.019
0.03553,0.03777,0.03847,0.04116,0.04006,0.0048,0.00369,0.00348,0.00363,0.00346,0.0185,0.01667,0.01686,0.01609,0.01557
0.03515,0.03751,0.03682,0.03725,0.03768,0.00328,0.00285,0.0026,0.00223,0.00208,0.0155,0.01505,0.01382,0.01353,0.01331
0.03372,0.0344,0.03506,0.03586,0.03542,0.00196,0.00191,0.00173,0.00144,0.00166,0.01416,0.01239,0.01142,0.01127,0.01153
0.03307,0.03343,0.03345,0.0326,0.0333,0.00156,0.00129,0.00128,0.00107,0.00098,0.01078,0.01076,0.00987,0.00954,0.00927
0.03091,0.03177,0.03149,0.03184,0.03094,0.00093,0.00099,0.00065,0.00065,0.00062,0.0094,0.00922,0.00807,0.00805,0.00776
0.03085,0.02961,0.03008,0.02892,0.02916,0.00062,0.00058,0.00057,0.0004,0.00036,0.00825,0.0078,0.00759,0.00674,0.00608
