0-240,0-240,0-240,0-240,0-240,0-240,120-120,120-120,120-120,120-120,120-120,120-120,,,,,,,,
0.541,0.48204,0.45559,0.09993,0.07068,0.06017,0.55945,0.49813,0.46538,0.13364,0.08985,0.07287,,,,,,,,
0.1251,0.09228,0.0715,0.07667,0.04231,0.02762,0.13155,0.10129,0.07912,0.10924,0.06284,0.04286,,,,,,,,
0.09229,0.07765,0.06359,0.08251,0.04597,0.03142,0.09447,0.08232,0.0694,0.10957,0.06661,0.04634,,,,,,,,
0.06754,0.06431,0.05619,0.08243,0.04826,0.034,0.06526,0.06619,0.05971,0.10264,0.06673,0.04796,,,,,,,,
0.04964,0.05437,0.04853,0.08157,0.04909,0.03476,0.04602,0.05134,0.05159,0.09189,0.0672,0.04848,,,,,,,,
0.0364,0.04321,0.04199,0.07816,0.05094,0.0357,0.03268,0.04115,0.04246,0.08269,0.06466,0.04888,,,,,,,,
0.02568,0.03578,0.03762,0.07199,0.05219,0.03615,0.02216,0.03403,0.03733,0.07174,0.0627,0.04926,,,,,,,,
0.01836,0.02949,0.03196,0.06567,0.05015,0.0367,0.01554,0.02705,0.03085,0.06052,0.058,0.04779,,,,,,,,
0.01319,0.02328,0.02709,0.058,0.04823,0.03678,0.01099,0.02079,0.0265,0.05049,0.05483,0.04609,,,,,,,,
0.00942,0.0194,0.02435,0.0511,0.04767,0.03697,0.00718,0.0161,0.02244,0.04047,0.05032,0.04419,,,,,,,,
0.00654,0.01543,0.01975,0.04377,0.04586,0.03604,0.00462,0.0137,0.019,0.03321,0.04482,0.04207,,,,,,,,
0.0048,0.01258,0.0185,0.03824,0.04311,0.03553,0.00346,0.01037,0.01557,0.02581,0.04085,0.04006,,,,,,,,
0.00328,0.01016,0.0155,0.03134,0.04042,0.03515,0.00208,0.00833,0.01331,0.02105,0.03696,0.03768,,,,,,,,
0.00196,0.00816,0.01416,0.02668,0.03778,0.03372,0.00166,0.00638,0.01153,0.01661,0.03318,0.03542,,,,,,,,
0.00156,0.00639,0.01078,0.02122,0.03454,0.03307,0.00098,0.00518,0.00927,0.01224,0.02798,0.0333,,,,,,,,
0.00093,0.00509,0.0094,0.01835,0.03155,0.03091,0.00062,0.00374,0.00776,0.00938,0.02522,0.03094,,,,,,,,
0.00062,0.00396,0.00825,0.01525,0.02889,0.03085,0.00036,0.00294,0.00608,0.00729,0.02133,0.02916,,,,,,,,
0.00057,0.00343,0.007,0.01215,0.02654,0.02805,0.00024,0.00261,0.0055,0.00581,0.01931,0.02554,,,,,,,,
0.00032,0.00278,0.00577,0.00928,0.02408,0.02703,0.00021,0.00176,0.00471,0.00391,0.01658,0.02383,,,,,,,,
0.00021,0.00208,0.00528,0.00735,0.02149,0.02605,0.00017,0.00161,0.00402,0.00311,0.01367,0.0218,,,,,,,,
0.00013,0.00165,0.0044,0.0062,0.01988,0.02418,0.00013,0.0011,0.00318,0.00235,0.0117,0.0195,,,,,,,,
0.00015,0.0011,0.00349,0.00454,0.01719,0.02269,5.00E-05,0.00096,0.00263,0.00149,0.00999,0.01812,,,,,,,,
9.00E-05,0.0009,0.00303,0.00421,0.01513,0.02153,5.00E-05,0.00066,0.00214,0.00136,0.00908,0.01692,,,,,,,,
7.00E-05,0.00096,0.00252,0.00311,0.01382,0.0205,2.00E-05,0.00056,0.00181,0.00103,0.00765,0.01539,,,,,,,,
4.00E-05,0.00085,0.00218,0.0025,0.01257,0.01881,2.00E-05,0.00037,0.00152,0.0006,0.0069,0.01306,,,,,,,,
3.00E-05,0.0006,0.00216,0.00183,0.01085,0.01756,2.00E-05,0.00034,0.00119,0.00047,0.00554,0.01194,,,,,,,,
3.00E-05,0.00046,0.00148,0.00135,0.00969,0.01687,1.00E-05,0.00024,0.00116,0.0004,0.0042,0.01055,,,,,,,,
2.00E-05,0.00037,0.00131,0.00112,0.00845,0.01422,0,0.00019,0.00078,0.00025,0.0038,0.00981,,,,,,,,
0,0.00026,0.00099,0.00085,0.00723,0.01407,0,0.00014,0.00086,0.00022,0.00305,0.00902,,,,,,,,
0,0.0002,0.00087,0.00074,0.00606,0.01296,0,0.00011,0.00063,0.00021,0.00239,0.00748,,,,,,,,
1.00E-05,0.00015,0.00082,0.00044,0.00535,0.01214,0,7.00E-05,0.00045,9.00E-05,0.00251,0.00666,,,,,,,,
0,0.00018,0.00056,0.0004,0.00548,0.01094,0,6.00E-05,0.00034,5.00E-05,0.00159,0.00602,,,,,,,,
1.00E-05,7.00E-05,0.00049,0.00018,0.00413,0.01042,0,7.00E-05,0.00032,4.00E-05,0.00141,0.00526,,,,,,,,
0,5.00E-05,0.00052,0.00015,0.00364,0.00964,0,3.00E-05,0.0003,3.00E-05,0.00117,0.00476,,,,,,,,
0,6.00E-05,0.00042,0.00018,0.00259,0.00828,0,1.00E-05,0.00028,1.00E-05,0.00098,0.00394,,,,,,,,
1.00E-05,7.00E-05,0.00037,0.0001,0.00268,0.0078,0,4.00E-05,0.00017,2.00E-05,0.00087,0.0036,,,,,,,,
0,2.00E-05,0.00029,0.00011,0.00251,0.00683,0,0,0.00013,3.00E-05,0.00071,0.00316,,,,,,,,
0,2.00E-05,0.00013,7.00E-05,0.00176,0.00626,0,2.00E-05,8.00E-05,2.00E-05,0.00047,0.00251,,,,,,,,
0,3.00E-05,0.00025,4.00E-05,0.00173,0.00576,0,2.00E-05,0.0001,1.00E-05,0.00041,0.00238,,,,,,,,
0,5.00E-05,0.00016,6.00E-05,0.00138,0.00527,0,0,7.00E-05,0,0.00042,0.00213,,,,,,,,
0,2.00E-05,0.00014,2.00E-05,0.00121,0.00494,0,0,6.00E-05,0,0.00028,0.0018,,,,,,,,
0,1.00E-05,9.00E-05,3.00E-05,0.00114,0.00444,0,0,5.00E-05,0,0.00038,0.00146,,,,,,,,
0,1.00E-05,8.00E-05,6.00E-05,0.00099,0.00397,0,0,5.00E-05,1.00E-05,0.00011,0.0014,,,,,,,,
0,1.00E-05,6.00E-05,2.00E-05,0.00071,0.00359,0,0,4.00E-05,0,0.00012,0.00116,,,,,,,,
0,0,4.00E-05,1.00E-05,0.00059,0.00337,0,0,3.00E-05,0,0.00012,0.00105,,,,,,,,
0,0,7.00E-05,0,0.00042,0.00262,0,0,1.00E-05,0,6.00E-05,0.00094,,,,,,,,
0,0,5.00E-05,0,0.0005,0.00275,0,0,3.00E-05,0,8.00E-05,0.00082,,,,,,,,
0,0,6.00E-05,0,0.00041,0.00235,0,0,1.00E-05,0,7.00E-05,0.00066,,,,,,,,
0,1.00E-05,2.00E-05,0,0.00035,0.00239,0,0,0,0,4.00E-05,0.00056,,,,,,,,
0,0,3.00E-05,0,0.0003,0.00193,0,0,1.00E-05,0,6.00E-05,0.00038,,,,,,,,
0,1.00E-05,2.00E-05,1.00E-05,0.00033,0.00158,0,0,0,0,4.00E-05,0.0005,,,,,,,,
0,0,1.00E-05,0,0.00014,0.0016,0,0,0,0,4.00E-05,0.00035,,,,,,,,
0,0,1.00E-05,0,0.00017,0.0012,0,0,1.00E-05,0,4.00E-05,0.00035,,,,,,,,
0,0,0,1.00E-05,0.0002,0.0011,0,0,1.00E-05,0,0,0.00027,,,,,,,,
0,1.00E-05,1.00E-05,0,0.00012,0.00091,0,0,1.00E-05,0,1.00E-05,0.00028,,,,,,,,
0,0,1.00E-05,0,8.00E-05,0.00104,0,0,0,0,1.00E-05,0.00016,,,,,,,,
0,0,1.00E-05,0,7.00E-05,0.00083,0,0,0,0,1.00E-05,0.00016,,,,,,,,
0,0,0,0,7.00E-05,0.00077,0,0,0,0,1.00E-05,0.0001,,,,,,,,
0,0,0,0,9.00E-05,0.00061,0,0,0,0,2.00E-05,0.00014,,,,,,,,
0,0,1.00E-05,0,3.00E-05,0.00046,0,0,0,0,0,0.00012,,,,,,,,
0,0,1.00E-05,0,4.00E-05,0.00052,0,0,0,0,1.00E-05,6.00E-05,,,,,,,,
0,0,0,0,4.00E-05,0.00044,0,0,1.00E-05,0,0,9.00E-05,,,,,,,,
0,0,0,0,1.00E-05,0.00045,0,0,0,0,0,0.00012,,,,,,,,
