x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20
0.027540706,0.023121816,0.030558263,0.027817351,0.044748982,0.0282,0.0282,0.0336145,0.05064541,0.0282,0.02664859,0.02477166,0.04312946,0.02471164,0.02185286,0.028451445,0.025922478,0.022695635,0.028980184,0.029788933
3.562793901,4.427206771,3.098644292,3.491183041,1.927146707,3.46,3.46,2.79969191,1.69239129,3.46,3.49679545,3.63999825,1.92340397,3.48021037,4.50342284,2.998783549,3.545677772,4.419105885,3.164427544,3.198321239
0.188790479,0.101343883,0.549249291,0.054463293,0.905305005,0.323,0.323,0.42337132,0.93671011,0.323,0.52764179,0.5695398,0.97131175,0.67361646,0.09817529,0.783463438,0.552643495,0.153441189,0.612800771,0.438950071
16,21,5,25,1,10,10,7,1,10,5,4,1,3,21,2,5,18,4,7
7.5,5.714285714,24,4.8,120,12,12,17.1428571,120,12,24,30,120,40,5.71428571,60,24,6.666666667,30,17.14285714
900,685.7142857,2880,576,14400,1440,1440,2057.14286,14400,1440,2880,3600,14400,4800,685.714286,7200,2880,800,3600,2057.142857
2.45E-06,4.35E-06,4.20E-06,3.49E-06,2.02E-06,3.01E-06,3.01E-06,2.78E-06,2.48E-06,3.01E-06,0.52817343,0.48744884,0.49575604,0.83549095,0.64811527,0.563263334,0.502323426,0.408486603,0.526105864,0.681038649
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
