0.0-sqrt(8.0),0.0-sqrt(8.0),0.0-sqrt(8.0),0.0-sqrt(8.0),0.0-sqrt(8.0),0.0-sqrt(8.0),3.0-sqrt(2.0),3.0-sqrt(2.0),3.0-sqrt(2.0),3.0-sqrt(2.0),3.0-sqrt(2.0),3.0-sqrt(2.0)
0.62315,0.57468,0.54762,0.18533,0.14267,0.12267,0.5367,0.48411,0.45452,0.10496,0.0747,0.06275
0.10646,0.081,0.06449,0.10128,0.06544,0.04763,0.12188,0.0899,0.0724,0.07693,0.04506,0.03074
0.07596,0.06628,0.05604,0.08992,0.0629,0.04594,0.09072,0.07307,0.06195,0.07572,0.04569,0.03126
0.05435,0.0516,0.04868,0.07989,0.05787,0.04557,0.06677,0.06182,0.05397,0.0748,0.04545,0.03296
0.0379,0.04171,0.04015,0.07012,0.055,0.04281,0.04782,0.05092,0.04667,0.06884,0.04484,0.03324
0.02741,0.03405,0.03486,0.05868,0.05119,0.04118,0.03548,0.04271,0.04054,0.06337,0.04476,0.03413
0.01955,0.02724,0.02889,0.05111,0.04537,0.03934,0.02626,0.03512,0.03568,0.05898,0.04412,0.03275
0.01455,0.02191,0.02455,0.04437,0.04132,0.03667,0.01954,0.02818,0.03017,0.05349,0.04198,0.03193
0.01044,0.01892,0.02131,0.03726,0.03854,0.03478,0.01436,0.0238,0.02776,0.04746,0.03932,0.03298
0.00755,0.01437,0.01748,0.03239,0.03546,0.03188,0.01065,0.01934,0.02288,0.04246,0.03843,0.03111
0.00606,0.01193,0.01526,0.02768,0.03153,0.03016,0.0074,0.01603,0.02019,0.03729,0.03726,0.03011
0.00434,0.00958,0.01391,0.02417,0.02842,0.02876,0.0059,0.01261,0.01718,0.03588,0.03477,0.02979
0.00298,0.00841,0.01177,0.02156,0.02491,0.02577,0.00454,0.01155,0.01535,0.03051,0.0324,0.02895
0.00221,0.00695,0.01044,0.0184,0.02292,0.02375,0.00311,0.00862,0.0129,0.02645,0.03008,0.0262
0.00166,0.00532,0.00868,0.01662,0.02105,0.02228,0.00209,0.00723,0.01187,0.024,0.02786,0.0262
0.00144,0.00419,0.00716,0.01437,0.01928,0.02088,0.00167,0.00598,0.01061,0.02183,0.02559,0.0249
0.00098,0.00376,0.00615,0.01313,0.01737,0.02003,0.00112,0.00495,0.00857,0.01953,0.02437,0.02435
0.00076,0.00324,0.0056,0.01198,0.01708,0.01824,0.001,0.00423,0.00718,0.01557,0.02355,0.02287
0.00048,0.00236,0.00481,0.01113,0.01499,0.01728,0.0007,0.00332,0.00615,0.01484,0.02103,0.02181
0.00036,0.00217,0.00413,0.01006,0.01357,0.01651,0.00079,0.00285,0.00603,0.01376,0.0204,0.0214
0.00033,0.00164,0.0033,0.00932,0.01299,0.01501,0.00041,0.00249,0.00469,0.01139,0.01806,0.01912
0.00026,0.00142,0.00284,0.00818,0.01184,0.01333,0.00034,0.0019,0.0039,0.00996,0.01767,0.0194
0.00027,0.00126,0.00254,0.00765,0.01095,0.01209,0.0002,0.00161,0.00393,0.00905,0.01644,0.01841
0.00014,0.00094,0.00237,0.00636,0.01058,0.01219,0.00013,0.00138,0.00332,0.00839,0.01486,0.01695
0.0001,0.00097,0.00238,0.00571,0.00958,0.011,9.00E-05,0.00108,0.00258,0.00719,0.01445,0.01684
6.00E-05,0.00083,0.00187,0.00555,0.00853,0.0106,9.00E-05,0.00091,0.00236,0.00664,0.01304,0.01576
6.00E-05,0.00061,0.00169,0.00462,0.00802,0.01074,3.00E-05,0.00082,0.00211,0.00583,0.0126,0.01471
4.00E-05,0.00047,0.00144,0.00409,0.00792,0.00943,7.00E-05,0.00069,0.00207,0.00504,0.01155,0.01409
5.00E-05,0.00038,0.00112,0.00353,0.00729,0.00919,4.00E-05,0.00056,0.00164,0.00411,0.01048,0.01321
2.00E-05,0.00031,0.00109,0.00319,0.00688,0.00885,3.00E-05,0.00035,0.00134,0.00349,0.00982,0.01251
5.00E-05,0.00033,0.0009,0.00287,0.00651,0.00815,4.00E-05,0.00028,0.0012,0.00315,0.00863,0.01166
0,0.00013,0.00083,0.00296,0.0062,0.00768,0,0.00034,0.00105,0.00269,0.0083,0.01135
2.00E-05,0.00017,0.00061,0.00225,0.00606,0.00711,1.00E-05,0.00025,0.00101,0.00231,0.00805,0.01123
1.00E-05,0.00019,0.00066,0.00181,0.00554,0.00693,0,0.00014,0.0009,0.00207,0.00703,0.01075
0,7.00E-05,0.00053,0.00205,0.00517,0.00688,0,0.00016,0.00067,0.00183,0.00703,0.00941
0,0.0001,0.00039,0.00148,0.00496,0.00639,1.00E-05,0.00012,0.00068,0.0016,0.00638,0.009
0,0.00012,0.00047,0.00139,0.00484,0.00612,0,7.00E-05,0.00054,0.0014,0.00624,0.00915
0,0.0001,0.00042,0.0012,0.00466,0.00557,0,8.00E-05,0.00031,0.00113,0.00564,0.00793
0,5.00E-05,0.00044,0.00098,0.00431,0.00576,1.00E-05,0.0001,0.00045,0.00099,0.00493,0.00788
0,3.00E-05,0.00028,0.00081,0.00366,0.00532,0,5.00E-05,0.0003,0.00099,0.00486,0.00743
0,3.00E-05,0.00028,0.00072,0.00337,0.00481,0,4.00E-05,0.00027,0.00072,0.0044,0.00698
0,7.00E-05,0.00017,0.00066,0.0033,0.00488,0,5.00E-05,0.00024,0.00063,0.00394,0.00736
0,3.00E-05,0.00016,0.00042,0.00294,0.0046,0,0,0.00028,0.00049,0.00381,0.00618
0,3.00E-05,0.0001,0.00047,0.00323,0.00428,0,5.00E-05,0.00015,0.00035,0.00328,0.00604
0,1.00E-05,0.00014,0.0004,0.00255,0.00484,0,3.00E-05,0.00019,0.00039,0.00327,0.00665
0,1.00E-05,0.00013,0.00029,0.00248,0.00413,0,2.00E-05,0.00016,0.00021,0.00299,0.00541
0,2.00E-05,0.0001,0.00022,0.00237,0.00402,0,2.00E-05,0.0001,0.00034,0.0024,0.00534
0,0,6.00E-05,0.00024,0.00235,0.00382,0,1.00E-05,0.00016,0.00018,0.00229,0.0052
0,1.00E-05,7.00E-05,0.00022,0.00183,0.0037,0,2.00E-05,0.00015,0.00015,0.00246,0.00466
0,0,8.00E-05,0.00018,0.00196,0.00412,0,2.00E-05,9.00E-05,0.00017,0.00237,0.00456
0,0,5.00E-05,0.00018,0.00179,0.00345,0,1.00E-05,4.00E-05,0.0001,0.00219,0.00478
0,0,5.00E-05,0.00012,0.00169,0.00346,0,0,8.00E-05,8.00E-05,0.00166,0.00404
0,0,8.00E-05,0.0001,0.0015,0.00323,0,0,6.00E-05,8.00E-05,0.00167,0.00368
0,0,4.00E-05,6.00E-05,0.00143,0.00295,0,1.00E-05,4.00E-05,3.00E-05,0.00168,0.00378
0,0,8.00E-05,5.00E-05,0.00123,0.00305,0,0,6.00E-05,4.00E-05,0.00142,0.00329
0,0,3.00E-05,4.00E-05,0.00103,0.00279,0,0,5.00E-05,2.00E-05,0.00124,0.00313
0,0,1.00E-05,4.00E-05,0.00106,0.00247,0,0,5.00E-05,0,0.00088,0.00332
0,0,5.00E-05,3.00E-05,0.00103,0.00237,0,0,2.00E-05,2.00E-05,0.0011,0.00309
0,0,1.00E-05,3.00E-05,0.00093,0.00249,0,0,4.00E-05,2.00E-05,0.00105,0.00306
0,0,0,1.00E-05,0.0009,0.00208,0,0,1.00E-05,3.00E-05,0.00088,0.00266
0,0,4.00E-05,0,0.00094,0.00213,0,0,1.00E-05,0,0.00075,0.00232
0,0,2.00E-05,1.00E-05,0.0007,0.00193,0,0,4.00E-05,0,0.00062,0.00253
0,0,2.00E-05,0,0.00056,0.00203,0,0,1.00E-05,0,0.00049,0.0022
0,0,2.00E-05,1.00E-05,0.00041,0.00201,0,0,2.00E-05,1.00E-05,0.0005,0.00198
0,0,1.00E-05,2.00E-05,0.00056,0.00165,0,0,1.00E-05,1.00E-05,0.00047,0.00186
