0.0-sqrt(8.0),0.0-sqrt(8.0),0.0-sqrt(8.0),0.0-sqrt(8.0),0.0-sqrt(8.0),0.0-sqrt(8.0),3.0-sqrt(2.0),3.0-sqrt(2.0),3.0-sqrt(2.0),3.0-sqrt(2.0),3.0-sqrt(2.0),3.0-sqrt(2.0)
0.623752,0.572988,0.547712,0.183888,0.14133,0.122694,0.537904,0.481444,0.45494,0.10532,0.075732,0.062334
0.106202,0.08239,0.065624,0.101462,0.064978,0.047574,0.121308,0.090096,0.070866,0.075346,0.04394,0.030876
0.075624,0.065536,0.055578,0.091918,0.062536,0.046704,0.089668,0.074798,0.062042,0.07661,0.045778,0.031628
0.054106,0.052442,0.047116,0.081124,0.059176,0.044718,0.066392,0.062198,0.053776,0.073168,0.046252,0.032792
0.038132,0.04207,0.040548,0.068872,0.054586,0.043518,0.048052,0.050668,0.047232,0.069476,0.045836,0.033124
0.027658,0.033978,0.034482,0.059072,0.050404,0.041046,0.035898,0.041956,0.040786,0.064178,0.0449,0.032606
0.019944,0.02751,0.029308,0.050144,0.046146,0.03877,0.026258,0.034732,0.035684,0.058208,0.043488,0.032828
0.014404,0.022294,0.02484,0.043416,0.042384,0.036828,0.019482,0.028534,0.030878,0.053468,0.041678,0.032844
0.010304,0.018226,0.021272,0.037178,0.038112,0.034384,0.014262,0.02382,0.026856,0.048338,0.040744,0.03223
0.007814,0.014448,0.018218,0.032298,0.034676,0.032436,0.010542,0.019384,0.022988,0.042452,0.038254,0.031054
0.005556,0.011906,0.015502,0.027624,0.031274,0.029924,0.007904,0.01612,0.020008,0.038292,0.036396,0.03056
0.004158,0.009672,0.013512,0.023972,0.02837,0.028192,0.00589,0.013336,0.01751,0.034288,0.034078,0.029478
0.003068,0.008002,0.011348,0.021464,0.025682,0.026022,0.00431,0.01066,0.015002,0.030198,0.032172,0.0283
0.002396,0.006552,0.010032,0.01871,0.023122,0.024178,0.003162,0.009068,0.013298,0.026734,0.030074,0.027306
0.00171,0.00546,0.008628,0.016468,0.021098,0.022832,0.002404,0.00747,0.011488,0.02421,0.028296,0.02647
0.001314,0.004624,0.00747,0.015144,0.01903,0.020988,0.00166,0.006138,0.009772,0.02147,0.026108,0.025482
0.00094,0.003626,0.006394,0.013394,0.017786,0.019726,0.001278,0.005196,0.008792,0.01883,0.024584,0.02413
0.000778,0.0031,0.00572,0.011828,0.016048,0.018168,0.000994,0.004144,0.007598,0.016946,0.022754,0.022786
0.000556,0.002482,0.004714,0.010856,0.015384,0.017082,0.000728,0.003454,0.006582,0.014622,0.0217,0.021892
0.000382,0.002014,0.004138,0.010064,0.013746,0.015546,0.000504,0.002896,0.005674,0.01349,0.019938,0.020918
0.000278,0.001758,0.003562,0.009072,0.012858,0.014812,0.000342,0.002444,0.004848,0.0118,0.01879,0.020156
0.000252,0.001552,0.003122,0.008042,0.011862,0.013786,0.000304,0.001964,0.004384,0.010282,0.01723,0.01909
0.00017,0.001286,0.002578,0.00762,0.01095,0.012842,0.00022,0.001622,0.003788,0.009356,0.016062,0.01825
0.000142,0.001016,0.00225,0.006582,0.010386,0.012172,0.000136,0.001392,0.00334,0.007996,0.015162,0.017222
8.40E-05,0.00086,0.002018,0.005936,0.009368,0.011622,0.000118,0.001132,0.002748,0.007186,0.013876,0.016664
8.00E-05,0.000688,0.001804,0.00544,0.008996,0.01081,7.60E-05,0.000922,0.00257,0.006264,0.01282,0.015348
4.20E-05,0.000568,0.00153,0.004832,0.008536,0.00999,6.20E-05,0.000808,0.001998,0.005658,0.012228,0.01456
3.00E-05,0.000492,0.001344,0.00429,0.008024,0.009386,3.60E-05,0.000658,0.001736,0.004928,0.011258,0.01425
2.80E-05,0.000438,0.001198,0.003762,0.007582,0.008972,2.00E-05,0.000594,0.001682,0.004354,0.01044,0.013436
2.60E-05,0.000338,0.00106,0.003276,0.006898,0.008726,1.80E-05,0.000386,0.001386,0.003672,0.009718,0.012774
1.60E-05,0.000278,0.000882,0.002998,0.00677,0.00806,1.80E-05,0.000384,0.001278,0.003326,0.009142,0.012214
1.40E-05,0.00025,0.000824,0.002562,0.006304,0.007804,1.60E-05,0.000278,0.001112,0.00276,0.008662,0.011468
4.00E-06,0.000198,0.000726,0.002334,0.005798,0.007296,1.20E-05,0.00021,0.001004,0.002408,0.007914,0.010852
