x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20
0.4023,0.40945,0.41474,0.41576,0.42001,0.15785,0.164,0.16667,0.16945,0.1727,0.09788,0.10251,0.10803,0.11013,0.11196,0.06063,0.06323,0.06934,0.07061,0.07044
0.07397,0.07606,0.07787,0.08069,0.08037,0.0531,0.05963,0.06255,0.06667,0.06839,0.03916,0.04464,0.04997,0.05248,0.0553,0.02794,0.03319,0.03762,0.04088,0.04278
0.066,0.06839,0.07033,0.07124,0.07041,0.05278,0.05758,0.06278,0.06489,0.06593,0.04152,0.04681,0.05032,0.0549,0.05566,0.02943,0.03514,0.04022,0.04437,0.04599
0.05749,0.05873,0.06151,0.06202,0.06117,0.05244,0.05592,0.05932,0.06249,0.06351,0.04235,0.04674,0.05132,0.05588,0.05664,0.03224,0.03751,0.04256,0.04584,0.04731
0.05098,0.05327,0.05237,0.05424,0.05392,0.05026,0.05394,0.05737,0.05975,0.0605,0.04268,0.04695,0.05118,0.05438,0.05541,0.0344,0.0394,0.042,0.04825,0.04923
0.04596,0.04576,0.04597,0.04668,0.04594,0.04903,0.05056,0.05427,0.05616,0.05698,0.04272,0.04643,0.05079,0.05295,0.05326,0.03514,0.04043,0.04442,0.04822,0.04825
0.03967,0.03944,0.04006,0.04045,0.04076,0.04575,0.05006,0.05004,0.05283,0.05278,0.04271,0.04614,0.0485,0.05075,0.0535,0.03628,0.03902,0.04355,0.04732,0.04939
0.03509,0.03513,0.03418,0.03444,0.03415,0.04479,0.04604,0.04732,0.04899,0.04864,0.0416,0.04521,0.04667,0.04791,0.04791,0.03687,0.04054,0.04332,0.0468,0.04771
0.03077,0.03144,0.03014,0.02952,0.03027,0.04231,0.04284,0.04361,0.04425,0.04436,0.04093,0.04291,0.04424,0.04563,0.0469,0.03671,0.04059,0.04414,0.0455,0.04733
0.02743,0.02723,0.0254,0.02575,0.02553,0.03928,0.03919,0.04042,0.04124,0.04006,0.03821,0.0415,0.04383,0.04445,0.04458,0.0359,0.03966,0.04195,0.04307,0.04423
0.02334,0.02175,0.02221,0.02122,0.02153,0.03644,0.03784,0.03839,0.03738,0.03608,0.0387,0.03937,0.03985,0.04273,0.04106,0.0363,0.03823,0.04086,0.04222,0.04225
0.01984,0.01949,0.0186,0.01887,0.01805,0.03436,0.03396,0.03521,0.03347,0.03385,0.03524,0.03718,0.03795,0.03865,0.03749,0.03562,0.03776,0.03933,0.04011,0.04046
