params1,params2
0.2599731,0.085185036
0.14763547,-0.3831607
-0.23139733,0.22357488
0.18858472,-0.20088723
-0.25292912,0.08302317
-0.0881181,0.10138516
0.24731271,-0.22016856
-0.20778985,-0.07240048
-0.019518085,-0.18783084
0.34451413,0.10765089
0.052302282,0.2481809
-0.04509859,0.07276216
-0.21096542,0.09301353
0.39875594,0.06649671
0.41183114,0.10033607
0.19510451,-0.12818451
-0.25073388,-0.26566523
-0.30130112,-0.10569066
0.6026361,0.041271582
0.044812433,0.122803606
0.84374183,-0.070417136
0.6016298,-0.12893611
-0.43794295,0.12812221
-0.32343966,0.19395816
-0.47456533,-0.22525541
-0.6590515,-0.27540845
0.32523113,-0.2041591
-0.43995282,-0.09634794
-0.58574665,-0.16525598
0.7003415,-0.09556799
0.7198446,0.20476241
-0.6142127,-0.09069775
-0.697106,0.10478455
0.4767861,0.23458064
0.5358853,0.02962731
0.5853417,0.05678042
0.5307348,0.2071666
-0.39717606,-0.18934062
0.5609788,-0.08845336
-0.28488937,0.1247185
0.41993797,0.048754424
0.56785315,0.0931237
-0.2505679,-0.37444928
0.018312668,0.16514373
-0.50286525,0.111146756
-0.24966821,0.30194986
0.52874273,0.027693877
-0.53030056,0.0039849463
-0.5943721,-0.28957164
0.47288513,0.4110194
0.4110627,-0.46117347
-0.53005975,-0.15278167
-0.24294168,-0.0078026038
0.6565948,-0.34128794
0.18832456,-0.2945268
0.41174924,0.22054623
0.3540736,-0.22763708
-0.5102329,0.116322994
0.6675143,0.08437035
-0.20531712,0.045471862
0.35978457,-0.28380033
0.33862647,-0.027941555
-0.48849323,0.37732744
-0.33825696,0.21967353
-0.50308216,-0.046951227
-0.44688082,0.045671
0.18452269,-0.16689315
-0.43022543,-0.09928071
-0.40324852,0.21047679
0.20155405,-0.12420701
0.24876018,0.38686946
-0.3798961,0.3415552
-0.20271207,0.22801246
0.5545836,0.40649742
0.08550608,0.2962671
0.5402125,-0.15508774
0.4062216,-0.022181468
-0.26069742,-0.010518856
0.084268644,-0.38970065
-0.16071528,-0.0062640226
0.2014939,0.00997389
0.36828542,-0.30816773
-0.33591336,0.07236095
-0.13804623,-0.25213045
-0.10932391,-0.15745744
-0.16608852,-0.4578786
0.2288473,0.070866816
-0.10132109,0.0046454095
-0.15430978,0.37671894
0.24244297,-0.07538906
0.11750546,0.27050537
0.026050776,0.024551459
-0.27797306,0.01876937
0.06708531,0.17966947
0.19901544,0.06603246
0.11414321,-0.052673124
0.33526298,-0.12133488
-0.38504317,0.056410912
0.026979769,-0.1338455
-0.44103336,-0.012041068
0.26590663,-0.39826035
0.004548799,-0.056361552
-0.2545905,0.22170831
-0.23579697,0.2693953
-0.011555496,0.17694873
0.107647665,0.2275899
0.1374655,-0.42929327
-0.30122265,-0.11553193
0.09614036,0.24957675
0.34964067,-0.05292309
0.17728472,0.10009316
-0.24752831,0.45818385
-0.37551904,0.5000086
0.097349815,0.26849535
0.1678093,0.17467715
0.054826826,0.00438523
0.025900899,-0.5247773
0.01022123,-0.14265563
0.13436097,-0.47798884
0.038349386,-0.1616746
0.32588705,0.23199618
0.18905547,0.010829452
0.053675167,-0.52226293
-0.29293185,-0.25656855
-0.2779403,0.14398651
0.038730253,0.24379107
0.23875163,0.40794173
-0.08979743,0.12058865
-0.016613415,-0.41070026
-0.16518986,0.5578136
0.29128164,-0.04446685
-0.07384145,-0.064162485
0.13493574,-0.39321387
-0.04743401,-0.18418129
-0.10545352,-0.052266683
-0.12612581,0.07998566
0.23253573,-0.14840266
0.08140133,0.14499038
0.059562374,0.42419887
0.10114606,0.4054938
0.31590647,0.23188366
-0.20902292,0.43021968
-0.04616157,-0.34897387
-0.20321956,0.04357662
-0.16368487,-0.071082145
0.0793049,-0.20443672
-0.01959074,0.22938102
-0.20023099,0.24407224
-0.017823793,-0.4012663
0.25978845,0.24689434
-0.08574435,-0.14516279
0.12357614,-0.6293512
0.1276648,-0.5893644
-0.07227724,0.03146872
0.16312458,-0.057333257
-0.1625747,0.1951835
0.16239817,0.51094174
0.07050262,-0.20281072
0.17364715,0.34382582
0.14869541,0.3168284
0.037218444,0.035049774
-0.22389388,0.327048
0.075264245,-0.19155118
-0.10248437,-0.0032308772
0.2587524,0.14807764
-0.062471323,0.3501123
0.007111989,0.40973017
-0.3354288,-0.025405439
-0.02225938,-0.5240887
-0.2034797,0.43030715
0.15346217,-0.054393955
0.14747874,-0.48068425
-0.112792134,-0.4593361
-0.013825466,-0.3012145
-0.21566935,-0.02692357
0.04259524,0.07378952
-0.2303839,0.19326693
0.11812446,0.20896864
0.0068248394,0.070908174
-0.036233764,0.26001865
0.17511755,-0.25908434
-0.31131583,0.031752106
0.26091078,0.009157594
0.13071808,-0.015081999
0.27416837,0.17143093
0.10182775,0.21184705
0.122231446,0.20134394
-0.2043061,-0.07997938
-0.0874934,0.017009864
-0.12625287,0.015648976
0.11676639,0.121347554
0.30117244,-0.31409937
0.10388353,-0.085200205
-0.077354975,-0.07710536
0.13383648,0.015516174
0.01680276,-0.12884918
-0.13472794,0.08785084
-0.04908342,-0.010103147
0.16134872,-0.1736282
0.30253428,0.041714605
-0.32249898,-0.33180174
-0.14381205,-0.3639235
0.17988801,0.4045209
0.001154233,-0.21009403
0.2909416,0.5265363
0.25567514,0.44404826
0.04031854,-0.5251099
0.03337201,0.37187248
0.08166774,0.24888007
-0.15294547,-0.60380054
-0.15660791,0.46626207
0.23555514,0.48682228
0.29957888,0.55473053
-0.3254478,0.42653784
-0.03494007,-0.12890892
0.10973052,0.4967377
-0.25954014,0.062011976
0.32334462,0.45805886
0.1174776,-0.47904143
0.20703141,0.012550048
-0.27736163,0.08761275
-0.21344648,-0.17070104
-0.15946914,-0.059285324
0.26500186,-0.1266709
0.32373226,-0.16690873
0.23121952,0.028532445
-0.038408432,-0.017148849
0.10659953,-0.0752068
-0.022622107,0.06325817
-0.086161874,0.033376127
-0.028175531,0.07107593
-0.07720171,-0.048880048
0.33210194,-0.105872996
-0.34271923,-0.09297779
-0.31850162,-0.06486162
-0.21340096,0.07601565
-0.014066321,0.048897415
0.20892987,-0.072984904
-0.12826456,0.01328127
-0.08333299,0.1460188
-0.101359345,-0.008247747
-0.041933645,-0.0065177716
0.04034398,0.17408395
0.011438645,0.02253652
0.31745514,0.017370816
0.29697356,0.25665852
-0.28938448,0.047058813
0.020883381,0.056154486
0.20859696,0.037433896
-0.42208692,0.39987808
0.019269316,0.17974222
0.039374325,0.062419042
-0.027845502,0.18782549
-0.13026933,-0.046504237
0.097043164,0.00021676066
0.02583127,0.49840933
-0.19870546,0.3668886
0.12434002,0.3367616
-0.379684,0.2787269
0.1406314,0.40335158
-0.07135309,0.20982699
-0.22013278,0.38584578
0.20624736,0.50345564
-0.087221794,0.59037614
0.41738316,0.70725644
0.061622303,0.40598023
-0.3041213,0.6741653
0.24528028,0.95309174
-0.039577432,1.0102444
-0.19897695,0.4573024
-0.36021042,0.87563354
0.09862212,1.1412493
0.07000281,0.7515093
-0.014280759,0.87599045
-0.3566214,0.51986605
-0.100712426,0.89946723
0.015466283,1.0163949
0.110892184,0.6967529
-0.40290517,1.0750555
0.37448713,0.72778857
-0.16234899,0.94656175
-0.025084972,0.66033757
0.43062255,0.9841462
-0.13374606,0.5600045
0.27619934,-0.02827213
0.34676686,-0.06905337
-0.06430812,-0.029890565
-0.057662852,-0.04950385
0.10740878,-0.109878205
0.0043853717,0.1158807
-0.19858505,-0.015490087
0.36943248,-0.12043489
0.43599808,-0.09098697
-0.06933016,0.02397966
-0.19125733,-0.0021166198
-0.42331952,-0.079087995
-0.012519727,0.07069187
0.2183948,-0.13070855
-0.18436131,0.050544538
0.35188568,-0.039271336
-0.16947004,-0.0564371
-0.11571625,0.032543488
0.45464355,-0.0059827967
0.32106787,-0.03787352
0.3997312,-0.12117641
0.35080248,0.047994357
-0.009665537,0.31756833
0.075714886,0.13135742
0.37558877,-0.07723192
-0.43999162,0.0089986455
-0.29330215,0.058632232
0.1892533,0.26527002
0.3179139,0.19106026
-0.17019707,0.22071427
-0.05762021,0.19904621
-0.37646365,0.13468824
0.112386934,0.30714718
0.23759483,0.30215213
-0.49143586,0.41449153
0.21160673,0.034074213
-0.49942538,0.09000865
-0.4736842,0.19677806
0.012797318,0.11354094
0.011905707,0.47527713
0.28960696,0.36844972
0.38766736,0.35230303
-0.4253897,0.22644322
0.26994404,0.5696215
0.46677166,0.4607486
-0.4682846,0.10388707
-0.520213,0.47909755
0.25929785,0.7688401
0.028194454,0.51499856
-0.5629969,0.32826757
-0.21123278,0.7914172
-0.4003589,0.77345103
0.0785542,0.5319188
0.28945357,0.8052699
-0.5420386,0.62864596
0.12567095,0.7898529
-0.16756518,0.56531477
-0.1247646,0.7492126
0.27711847,0.8289937
0.350186,0.56052065
0.51197094,0.6932941
0.2818681,0.7277139
-0.36855632,0.7863735
0.1765214,0.4086932
