params1,params2
0.3491844,-0.11522169
0.30314782,-0.033133928
0.29520392,0.13819446
-0.30079398,0.40132418
-0.24170314,-0.19410844
-0.066179164,-0.1687777
-0.04756708,0.074247554
0.051034514,-0.2133311
-0.005993718,0.5721975
0.11143949,-0.032573868
-0.0667478,0.54548
-0.14101347,-0.030420091
-0.13569255,-0.40377784
0.10150124,-0.45681837
0.23746288,-0.030676957
-0.3160545,0.56331927
-0.24796441,0.0034704122
-0.30007374,0.68131095
0.31480303,-0.20557125
0.33083814,0.3034308
-0.48502722,-0.45792034
-0.31067255,0.34832034
-0.2971175,0.0036565005
0.361774,0.2400347
0.5503593,-0.5213603
-0.42866948,0.2522288
-0.40279424,-0.25703478
-0.43481076,-0.12214963
0.2982129,-0.17030756
0.49531245,0.027125694
-0.41638127,-0.18712772
-0.39775175,0.32799652
-0.3983886,-0.25146785
0.36651874,0.048837565
0.6148552,-0.26894045
-0.5188634,0.29469386
-0.39067867,-0.026686665
-0.36758554,-0.30839625
0.31566358,0.38924322
0.47580668,-0.6827439
-0.39250144,0.5614462
-0.26440206,0.511757
-0.23315802,0.6644824
0.17710592,-0.16985059
0.48681614,0.3002648
-0.20926875,0.069619134
-0.08503846,-0.296014
-0.13120827,0.4881872
0.16606493,-0.04075923
0.30988926,-0.18837391
-0.085372336,-0.5174566
0.037975878,-0.18828468
0.042812932,-0.08531426
-0.009958376,0.43631595
0.06286221,-0.47237027
0.1608426,-0.013388477
0.031903762,0.08440484
0.07359901,0.11465887
-0.16828866,0.22288333
0.011815029,-0.0078022582
0.1879894,0.30333433
0.11140751,0.0013439677
0.25474802,0.11773511
-0.2030008,0.15177272
-0.06452061,-0.003577599
0.3202999,-0.11686479
0.18696053,-0.40161607
0.25355518,-0.19654939
-0.13674136,-0.2296923
-0.19621415,-0.2665502
0.270131,-0.19274889
0.2134329,-0.20753059
0.3762096,-0.1084329
-0.22202398,-0.1677258
-0.17717776,-0.16231689
0.4108672,-0.07855119
0.35814786,-0.18846567
0.46030125,-0.121363096
-0.2989769,-0.29975852
-0.29844207,-0.24269995
0.49509135,0.11699433
0.33782464,0.03425981
0.47094628,-0.011803737
-0.45585188,0.29199135
-0.45630634,0.24038114
0.5032415,0.22669084
0.3671163,0.067653134
0.5721303,0.060173884
-0.42025447,0.17592709
-0.35550967,0.12907498
0.35800904,0.12976034
0.2713741,0.14613113
0.5671141,-0.02865079
-0.50224626,0.040759176
-0.3866249,0.066894114
0.46463013,0.026925713
0.39070335,0.13837266
0.57858497,0.1310337
-0.44224012,0.17286006
-0.49627405,0.13696738
0.56566983,0.09687895
0.33635932,-0.092688985
0.64759904,-0.037895847
-0.43777674,-0.14857712
-0.58117545,-0.072219186
0.48259687,0.350197
0.35959142,0.045480944
0.6487643,0.025260873
-0.50931364,-0.06874963
-0.5462274,-0.10721738
0.59412414,0.027364299
0.3090775,0.011863951
0.59912336,0.10543804
-0.5433918,0.051618572
-0.54451436,0.025971249
0.57293427,0.1720155
0.38893107,0.25432056
0.61817163,0.18866602
-0.39786965,0.20755565
-0.51765376,0.29808408
0.400894,0.30372658
0.31236607,0.2389292
0.3541921,0.23198439
-0.31785753,0.3743837
-0.51588863,0.21048799
0.43096027,0.13695809
0.44122022,0.020575082
0.45724753,0.117771536
-0.27812338,-0.13352896
-0.72004306,-0.17266738
0.24494188,0.21803606
0.30007464,0.13924523
0.14284156,0.07932354
-0.097646765,-0.028539708
-0.22652069,-0.06622531
0.2959352,-0.016051466
0.26839626,-0.031769753
0.08721339,0.0746832
-0.072221905,0.09523699
-0.09652803,0.15011093
0.088595055,0.24066778
0.17603898,0.2571253
0.004476431,0.2914436
-0.012845894,0.1859508
0.016550958,0.3199646
-0.043522216,0.3056589
0.15402009,0.15338649
0.029815832,0.20584424
0.10891952,0.26818305
0.12020655,0.18242662
-0.075833775,0.34052506
0.007916836,0.11653894
-0.0062038796,-0.1355239
0.000534631,0.16211823
0.06520126,-0.023696523
-0.16921654,0.08645935
-0.10711665,0.19613191
-0.15438072,0.0075797094
0.073474914,0.0024800224
0.23959056,0.035315253
-0.17326435,-0.10523074
-0.14801957,0.051410127
-0.21419144,0.0026076087
0.24773917,0.13319641
0.33903176,0.12077417
-0.12266569,0.18839847
-0.12874912,0.14915559
-0.090584315,0.1973426
0.159892,0.22913195
0.20608851,0.19254346
-0.13504256,0.050082944
-0.023367926,0.18557137
-0.10800968,0.14531945
0.029441036,0.051726755
0.2284912,0.005120985
-0.060351912,0.083410546
-0.0014978736,-0.077914715
0.068977624,-0.07783715
0.07568296,-0.021763984
0.17510565,0.0021759998
0.0147628775,0.1043871
0.046779692,-0.06438977
0.1880281,-0.07461158
-0.15257798,-0.0057229623
0.014130611,-0.02664664
0.151642,0.04100805
0.20626365,0.113228396
0.3541063,0.066718094
-0.18278755,0.10763
-0.13246161,0.14949909
0.37951064,0.16494876
0.29347113,0.15000853
0.43419853,0.12568831
-0.27670652,0.094811276
-0.23743026,0.050276298
0.34825516,0.069209374
0.2613917,0.14220735
0.46672577,-0.019393645
-0.35586834,0.10203298
-0.26048246,0.2692246
0.51008135,0.0012162201
0.3711584,-0.081746936
0.64092267,0.04082881
-0.44439578,-0.058738403
-0.50867325,-0.02952613
0.51580775,-0.09875269
0.49536365,0.0039996235
0.6428615,-0.032875203
-0.45298952,-0.074739106
-0.42436877,-0.049469966
0.49730152,-0.06692046
0.5317243,0.10919436
0.61698586,0.14603621
-0.5711689,0.046172794
-0.52356327,-0.08310814
0.6473395,-0.046819206
0.40044773,-0.06551125
0.7284979,-0.11267037
-0.60861766,0.06250677
-0.48760888,0.008498068
0.6215855,0.011699217
0.5467203,0.11850775
0.6292585,0.06259996
-0.48010007,-0.031696435
-0.5406304,0.057928476
0.53528494,-0.036880795
0.44694263,-0.054928195
0.60395324,0.08119282
-0.47242254,0.030341027
-0.46776232,-0.005340019
0.577676,-0.078268185
0.38783383,-0.20117787
0.64826363,-0.20412345
-0.45614055,-0.15812911
-0.49272856,-0.065491684
0.5012161,-0.14252223
0.4104579,-0.036511213
0.5685643,0.017486196
-0.5985799,-0.061767668
-0.47479975,-0.024714096
0.49523854,-0.058068514
0.3837575,-0.03832798
0.65306354,0.018248014
-0.47772652,-0.09917658
-0.57332206,-0.0673538
0.48155093,-0.063247815
0.36038655,-0.074869476
0.6103681,0.02149003
-0.40660208,0.008439147
-0.5609998,0.1284133
0.55869913,0.010058158
0.39746526,0.04769705
0.6131342,0.030668994
-0.38639075,0.047650527
-0.8549378,-0.01586384
0.41453072,-0.34861663
0.33715862,-0.22154468
0.43826714,-0.329205
-0.34154767,-0.18935592
-0.5101038,-0.25042057
0.2526387,-0.21244721
0.1663986,-0.09304487
0.18025161,-0.13114862
-0.05086653,-0.10203151
-0.4595406,-0.06389969
0.32084486,-0.1428649
0.21298437,-0.055002507
0.28664994,-0.27505738
-0.19783191,-0.15009825
-0.35665947,-0.2129463
0.3125245,-0.09203557
0.18827076,-0.070846416
0.27880618,0.061075736
-0.20845024,0.013954015
-0.21915808,-0.04684762
0.26916206,-0.07004539
0.15373205,0.039402634
0.23600422,0.08938867
-0.14550081,-0.06279083
-0.12990335,-0.07300683
0.10465438,-0.35707396
0.23440123,-0.27945188
0.27965173,-0.27749354
-0.14894065,-0.35886693
-0.18524499,-0.28370863
0.04756003,-0.29692742
-0.0825857,-0.25895846
0.19847171,-0.24587493
0.084365115,-0.25139415
0.110771835,-0.26582137
-0.06816105,-0.31719014
-0.018011127,-0.39112234
0.19090013,-0.3446691
-0.07374072,-0.27856636
0.1961261,-0.07811244
-0.0702147,0.13571048
-0.009106919,-0.013943537
0.04275894,0.04111837
-0.0022105118,0.002478689
0.120909855,-0.048936006
0.036185123,0.048473097
0.102532014,0.0563216
0.099006176,0.0714875
-0.006569927,0.029006248
0.15775637,0.029786836
0.18100096,-0.42517415
0.17393874,-0.32083866
0.2304902,-0.30821735
-0.057065006,-0.2943927
-0.09832599,-0.32151
0.1763368,-0.38045752
0.2665389,-0.43513393
0.34530583,-0.45367116
-0.23906626,-0.3366154
-0.18306597,-0.34354997
0.3860112,-0.3720564
0.20822336,-0.25604162
0.38024142,-0.13694829
-0.27290782,-0.0015406796
-0.2880364,-0.08588632
0.38266304,-0.015713032
0.28482655,-0.060833815
0.5290989,-0.1091853
-0.34022415,-0.016558664
